Automobile ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Weight Class ID,Category ID,Model,Model Year,City Range,Highway Range,City Fuel Economy,City Fuel Economy Units,Highway Fuel Economy,Highway Fuel Economy Units,City Gas Fuel Economy,Highway Gas Fuel Economy,Transmission Type,Engine Type,Engine Size,Engine Cylinder Count,Engine Description,Battery Type,Battery Voltage Amps,110v Charge Time,220v Charge Time,Warranty Info,Ordering Info,Description,Comments,Manufacturer,Manufacturer URL,Fuel Code,Fuel,Category,Fuel Configuration Name
12061,41,1,351,"",27,Ioniq Electric,2019,"","",150.0,MPGe,122.0,MPGe,"","",Auto,e-motor,88 kW electric motor,"","88 kW electric motor;
78 Ah battery","","","","","","","","",Hyundai,http://www.hyundaiusa.com/,ELEC,Electric,Sedan/Wagon,Dedicated
12075,41,9,217,"",27,Leaf,2019,"","",124.0,MPGe,99.0,MPGe,"","",Auto,SI,110 kW,"","110 kW electric motor;
115 Ah battery","","","","","","","","",Nissan,http://www.nissanusa.com,ELEC,Electric,Sedan/Wagon,Hybrid Electric
11975,41,1,211,"",27,I3 (94 Ah) ,2018,"","",129.0,MPGe,106.0,MPGe,"","",Auto,SI,125 kW,"","125 kW electric motor;
94 Ah battery","","","","","","","","",BMW,www.bmwusa.com,ELEC,Electric,Sedan/Wagon,Dedicated
11976,41,1,211,"",27,I3s (94 Ah) ,2018,"","",126.0,MPGe,99.0,MPGe,"","",Auto,SI,125 kW,"","125 kW electric motor;
94 Ah battery","","","","","","","","",BMW,www.bmwusa.com,ELEC,Electric,Sedan/Wagon,Dedicated
11841,41,1,215,"",27,Bolt EV,2018,"","",128.0,MPGe,110.0,MPGe,"","","",e-motor,150 kW electric motor,"","150 kW electric motor;
171 Ah battery","","","","","","","","",Chevrolet,http://www.chevrolet.com,ELEC,Electric,Sedan/Wagon,Dedicated
11990,41,1,379,"",27,500e,2018,"","",121.0,MPGe,103.0,MPGe,"","",Auto,SI,82 kW,"","82 kW electric motor;
63 Ah battery","","","","","","","","",Fiat,http://www.fiatusa.com/,ELEC,Electric,Sedan/Wagon,Dedicated
11842,41,1,219,"",27,Focus Electric FWD,2018,"","",118.0,MPGe,96.0,MPGe,"","",Auto,e-motor,107 kW electric motor,"","107 kW electric motor;
105 Ah battery","","","","","","","","",Ford,http://www.fordvehicles.com,ELEC,Electric,Sedan/Wagon,Dedicated
11991,41,1,209,"",27,Clarity,2018,"","",126.0,MPGe,103.0,MPGe,"","",Auto,e-motor,120 kW electric motor,"","120 kW electric motor; 
82 Ah battery","","","","","","","","",Honda,http://automobiles.honda.com,ELEC,Electric,Sedan/Wagon,Dedicated
11844,41,1,351,"",27,Ioniq Electric,2018,"","",150.0,MPGe,122.0,MPGe,"","",Auto,e-motor,88 kW electric motor,"","88 kW electric motor;
78 Ah battery","","","","","","","","",Hyundai,http://www.hyundaiusa.com/,ELEC,Electric,Sedan/Wagon,Dedicated
11845,41,1,361,"",27,Soul,2018,"","",124.0,MPGe,93.0,MPGe,"","",Auto,SI,81 kW electric motor,"","81 kW electric motor;
80 Ah battery","","","","","","","","",Kia,http://www.kia.com,ELEC,Electric,Sedan/Wagon,Dedicated
