,,,,,,,,,,
,Average U.S. Retail Fuel Prices per Gasoline Gallon Equivalent (GGE),,,,,,,,,
,Survey Start Date,Gasoline,E85,CNG,Propane**,Diesel,B20,B2/B5,B99/B100,Electricity*
,4/10/00,$1.52,$1.80,$0.89,$1.62,$1.29,,,,$0.81
,10/9/00,$1.54,$1.90,$1.02,$1.76,$1.46,,,,$0.84
,6/4/01,$1.68,$1.85,$1.30,$1.72,$1.37,,,,$0.90
,10/22/01,$1.27,$1.60,$1.19,$1.62,$1.19,$1.35,,,$0.88
,2/11/02,$1.11,$1.54,$1.09,$1.62,$1.04,$1.18,,,$0.81
,4/15/02,$1.40,$1.80,$1.07,$1.95,$1.19,$1.28,,,$0.83
,7/22/02,$1.41,$1.81,$1.20,$1.55,$1.18,$1.39,,,$0.87
,10/28/02,$1.44,$1.71,$1.17,$1.66,$1.35,$1.47,,,$0.84
,2/3/03,$1.61,$1.86,$1.20,$2.09,$1.50,$1.57,,,$0.79
,12/1/03,$1.48,$1.70,$1.35,$2.21,$1.34,$1.60,,,$0.82
,3/3/04,$1.74,$1.84,$1.40,$2.48,$1.47,$1.61,,,$0.85
,6/14/04,$1.99,$2.28,$1.40,$2.13,$1.55,$1.89,,,$0.92
,11/15/04,$1.97,$2.30,$1.56,$2.91,$1.93,$2.05,,,$0.89
,3/21/05,$2.11,$2.29,$1.56,$2.65,$2.03,$2.11,,,$0.88
,9/1/05,$2.77,$3.21,$2.12,$3.50,$2.54,$2.67,$2.54,$3.30,$0.98
,1/1/06,$2.23,$2.65,$1.99,$2.71,$2.32,$2.42,$2.23,$3.14,$0.95
,5/24/06,$2.84,$3.24,$1.90,$2.85,$2.69,$2.68,$2.69,$3.65,$1.05
,9/4/06,$2.22,$2.81,$1.77,$3.18,$2.37,$2.43,$2.49,$3.21,$1.08
,2/21/07,$2.30,$2.79,$1.94,$3.58,$2.37,$2.32,$2.36,$3.22,$0.98
,7/3/07,$3.03,$3.50,$2.10,$3.53,$2.67,$2.71,$2.57,$3.17,$1.10
,10/2/07,$2.76,$3.20,$1.77,$3.75,$2.81,$2.82,$2.71,$3.28,$1.07
,1/21/08,$2.99,$3.55,$1.93,$4.31,$3.05,$3.08,$2.98,$3.63,$1.01
